customer_id,customer_ext_id,customer_name,city,postal_code,country_id
1,72-055-7985,Laney Fadden,Daruoyan,993-0031,1
2,65-353-0657,Giacopo Bramich,Ongjin,216282,2
3,90-876-6799,Lia Bonar,Quince Mil,663246,3
4,73-873-4827,Merrill Baudon,Susaki,987-0352,4
5,80-927-5246,Tasia Fautly,Tobruk,351 01,5
6,77-111-2020,Angel Veschambre,Rafael Hernandez Ochoa,93995,6
7,10-341-4047,Sheilah Maestro,BelozÃ«rskoye,641360,7
8,83-800-4789,Audie Willcocks,PÃ³voa do Valado,3810-760,8
9,89-896-4591,Mart Malsher,Galâ€™bshtadt,692769,7
10,21-282-1343,Magdalen Lacheze,Fuyang,649-6326,1
11,04-699-2162,Margarita Mancktelow,Pindiga,33619,9
12,72-013-3529,Ashil Brogini,Wakayama-shi,649-6326,4
13,09-688-8521,Arthur Mathewson,Qingshan,353715,1
14,08-390-4691,Ennis Dungate,Pueblo Viejo,351 01,10
15,56-479-7571,Tiffani Halstead,Chelbasskaya,353715,7
16,75-558-6855,Roddie Winterbotham,Leticia,910008,11
17,09-710-7305,Pincas Stearn,Bielefeld,33619,12
18,81-678-3234,Tony Crabtree,Kuzhu,993-0032,1
19,83-988-2186,Tamarah Filasov,Kertamukti,1110210,13
20,66-386-4902,Pen Pruce,Yeghegnut,1557174,14
21,37-285-0504,Boot Burree,Baisangguan,987-0353,1
22,07-111-7669,Sabra Calbreath,FrantiÅ¡kovy LÃ¡znÄ›,352 01,15
23,84-136-7752,Obidiah Zanicchi,Tabu,1188725,13
24,72-417-9175,Anders Stowe,Daâ€™anshan,1736090,1
25,79-082-9805,Locke Janaway,Jelat,3810-761,13
26,24-545-1124,Kaylyn Colebourne,Shuangqiao,692770,1
27,84-300-6499,Noni Quickenden,Mont-Royal,649-6327,16
28,93-913-0650,Alan Paskell,Longzui,33620,1
29,91-251-5721,Anny Pattemore,Karanganyar,649-6327,13
30,04-960-9928,Les Harmson,Podkamennaya Tunguska,353716,7
31,35-042-6593,Horatio Lundy,Huangcun,352 01,1
32,45-879-0850,Sibley Rodder,Tyvriv,112351.333333333,17
33,78-492-1244,Dniren Copperwaite,Zhuhu,-47696.6666666667,1
34,87-172-1004,Sorcha Beesley,Zabrat,-207744.666666667,18
35,55-516-2272,Alison Jamieson,CambuÃ­,993-0033,19
36,79-227-9821,Dre Danher,Libei,2004138,1
37,87-811-2475,Chris Gummer,Kubangwaru,2451102,13
38,97-003-2495,Adiana Shirtliff,Haradzyeya,987-0354,20
39,26-631-4044,Derry Davis,La Loma,353 01,10
40,07-925-9556,Lenci McFadzean,El Triunfo de la Cruz,2283455,21
41,18-296-6063,Uriel Grooby,Izumi,2830820,4
42,26-237-6257,Jillayne Gaiford,BÅ«laevo,3810-762,22
43,77-064-4656,Tiertza Doogan,Ovsyanka,692771,7
44,29-631-4932,Ilario Michie,Pindiga,649-6328,9
45,04-268-9065,Sarah Plaschke,Narathiwat,33621,23
46,06-545-4037,Skipp Lowater,Pacaraos,649-6328,3
47,82-278-5664,Maddalena Wolfinger,Senanga,353717,24
48,19-112-3031,Mariquilla Labbe,NotsÃ©,353 01,25
49,58-749-9630,Cornelius Harkess,Morelos,-367792.666666667,6
50,60-238-7059,Erv Padrick,Phichai,-527840.666666667,23
51,03-575-7094,Fielding Struys,Shensuo,-687888.666666667,1
52,83-465-8495,Purcell Eyer,Qulsary,993-0034,22
53,97-122-0077,Pietra Dibdall,El Alamo,2898066,6
54,44-106-8726,Dyanne Labbet,Samanggen,3345030,13
55,75-652-8475,Elsworth Stannas,Jinhai,987-0355,1
56,66-683-1761,Marlo McGeaney,Matangshan,354 01,1
57,18-238-2784,Calvin Aucock,Ngarus,3378185,13
58,14-427-0652,Prudence Eastlake,Stockholm,3925550,26
59,96-883-5571,Gwenora Beauchamp,Petauke,3810-763,24
60,59-450-2625,Jerrie Jiran,Lorena,692772,19
61,17-237-9919,Linc Martynov,Saint-Malo,649-6329,27
62,89-302-9477,Jackie Kment,Báº¿n Cáº§u,33622,28
63,30-395-2269,Phil Schapero,Rancapare,649-6329,13
64,60-742-1416,Giusto Sheavills,Mospyne,353718,17
65,42-286-4150,Emmalynne Hairs,Lewobelek,354 01,13
66,36-854-2570,Mirna Rosita,Novorossiysk,-847936.666666667,7
67,00-988-1489,Alard Briat,Kyshtym,-1007984.66666667,7
68,80-467-4735,Ferdinand Fowley,Ntungamo,-1168032.66666667,29
